location,date,oxygen,phosphate,salinity,silicate,temperature
"(20.0, -84.0)",1973-03-31,3.34,1.13,35.621,6.0,11.58
"(20.0, -84.0)",1981-10-31,3.8724999999999996,1.13,36.0235,6.0,24.12
"(20.0, -84.0)",2000-05-31,3.8724999999999996,1.13,35.89025,6.0,27.766666666666666
"(20.0, -84.0)",2001-01-31,3.8724999999999996,1.13,35.89025,6.0,26.474999999999998
"(20.0, -85.0)",1961-03-31,4.516,0.15,35.97,1.0,26.72
"(20.0, -85.0)",1961-04-30,4.516,0.15,35.885000000000005,1.0,26.83
"(20.0, -85.0)",1962-06-30,4.69,0.15,36.268,1.0,28.15
"(20.0, -85.0)",1970-02-28,4.25,0.15,35.8,1.0,25.66
"(20.0, -85.0)",1970-04-30,4.67,0.15,35.859,1.0,27.27
"(20.0, -85.0)",1970-05-31,4.516,0.15,35.95,1.0,27.62
"(20.0, -85.0)",1971-07-31,4.516,0.15,36.035,1.0,27.965
"(20.0, -85.0)",1971-08-31,4.5,0.15,36.155,1.0,29.28
"(20.0, -85.0)",1972-05-31,4.47,0.15,35.888,1.0,28.0
"(20.0, -85.0)",2000-05-31,4.516,0.15,35.97888888888889,1.0,27.6
"(20.0, -85.0)",2000-12-31,4.516,0.15,35.97888888888889,1.0,27.880000000000003
"(20.0, -86.0)",1968-05-31,4.673333333333333,0.49,35.82188571428572,2.0,27.0
"(20.0, -86.0)",1969-04-30,4.673333333333333,0.49,35.84,2.0,27.33
"(20.0, -86.0)",1969-07-31,4.49,0.49,35.969,2.0,29.64
"(20.0, -86.0)",1970-04-30,4.673333333333333,0.49,35.661,2.0,26.57
"(20.0, -86.0)",1970-05-31,4.673333333333333,0.49,35.935,2.0,27.495
"(20.0, -86.0)",1971-07-31,4.673333333333333,0.49,35.6132,2.0,18.734
"(20.0, -86.0)",1972-03-31,4.92,0.49,35.87,2.0,26.375
"(20.0, -86.0)",1972-05-31,4.61,0.49,35.865,2.0,28.28
"(20.0, -86.0)",2000-05-31,4.673333333333333,0.49,35.82188571428572,2.0,27.3
"(20.0, -86.0)",2000-12-31,4.673333333333333,0.49,35.82188571428572,2.0,27.8
"(20.0, -87.0)",1965-10-31,4.53,0.3,36.26,2.0,28.15
"(20.0, -87.0)",1968-05-31,4.69,0.3,35.946,2.0,27.121999999999996
"(20.0, -87.0)",1969-01-31,4.585,0.3,35.84,2.0,26.8
"(20.0, -87.0)",1970-05-31,4.585,0.3,35.995000000000005,2.0,27.645000000000003
"(20.0, -87.0)",1971-07-31,4.585,0.3,35.504000000000005,2.0,14.044285714285715
"(20.0, -87.0)",1972-04-30,4.585,0.3,35.87,2.0,26.61
"(20.0, -87.0)",1972-05-31,4.535,0.3,36.116,2.0,27.87
"(20.0, -87.0)",2000-12-31,4.585,0.3,35.933,2.0,27.7
"(20.0, -91.0)",1964-05-31,4.82,0.07,36.67,2.0,27.4
"(20.0, -91.0)",1971-08-31,4.78,0.07,36.45,2.0,26.78
"(20.0, -92.0)",1964-05-31,4.64,0.07,37.23,2.0,27.62
"(20.0, -92.0)",1965-04-30,4.61,0.07,36.79,2.0,25.31
"(20.0, -92.0)",1967-03-31,4.5225,0.07,36.044,2.0,23.5
"(20.0, -92.0)",1971-10-31,4.32,0.07,36.687999999999995,2.0,28.67
"(20.0, -92.0)",1972-01-31,4.52,0.07,36.687999999999995,2.0,26.259999999999998
"(20.0, -93.0)",1964-01-31,4.8,0.07,36.488,2.0,23.28
"(20.0, -93.0)",1967-03-31,4.486666666666667,0.07,35.917,2.0,23.7
"(20.0, -93.0)",1971-08-31,4.46,0.07,36.527,2.0,28.48
"(20.0, -93.0)",1971-10-31,4.2,0.07,36.315,2.0,28.31
"(20.0, -93.0)",2000-01-31,4.486666666666667,0.07,36.31175,2.0,24.1
"(20.0, -94.0)",1964-10-31,4.69,0.0,36.36,2.0,26.94
"(20.0, -94.0)",1965-04-30,4.71,0.0,36.29,2.0,25.31
"(20.0, -94.0)",1967-03-31,4.458333333333333,0.0,36.212,2.0,22.8
"(20.0, -94.0)",1968-05-31,4.458333333333333,0.0,36.55,2.0,27.19
"(20.0, -94.0)",1969-08-31,4.154999999999999,0.0,36.685,2.0,29.299999999999997
"(20.0, -94.0)",1970-11-30,4.484999999999999,0.0,35.9315,2.0,25.43
"(20.0, -94.0)",1971-06-30,4.485,0.0,36.681,2.0,28.235
"(20.0, -94.0)",1971-08-31,4.43,0.0,36.549,2.0,28.41
"(20.0, -94.0)",1971-10-31,4.3,0.0,36.0715,2.0,28.04
"(20.0, -94.0)",1971-11-30,4.52,0.0,36.016,2.0,27.29
"(20.0, -94.0)",1972-01-31,4.35,0.0,36.3346,2.0,25.77
"(20.0, -95.0)",1962-03-31,4.07,0.0,36.112,2.0,25.16
"(20.0, -95.0)",1964-01-31,4.87,0.0,36.465,2.0,22.29
"(20.0, -95.0)",1964-10-31,4.520833333333333,0.0,36.24431818181819,2.0,26.57
"(20.0, -95.0)",1965-04-30,4.86,0.0,36.49,2.0,25.35
"(20.0, -95.0)",1970-11-30,4.215,0.0,35.7975,2.0,26.53
"(20.0, -95.0)",1971-05-31,4.68,0.0,36.307,2.0,27.02
"(20.0, -95.0)",1971-08-31,4.38,0.0,36.526,2.0,28.42
"(20.0, -95.0)",1971-09-30,4.375,0.0,35.947,2.0,28.83
"(20.0, -95.0)",1971-10-31,4.58,0.0,36.416,2.0,28.165
"(20.0, -95.0)",1971-11-30,4.58,0.0,35.775,2.0,27.134999999999998
"(20.0, -95.0)",1972-01-31,4.51,0.0,36.24431818181819,2.0,24.86
"(20.0, -95.0)",1972-04-30,4.73,0.0,36.446,2.0,26.95
"(20.0, -95.0)",1972-05-31,4.4,0.0,36.406,2.0,27.98
"(20.0, -96.0)",1967-08-31,4.633333333333334,0.16,36.735,2.0,29.8
"(20.0, -96.0)",1969-08-31,4.21,0.16,35.47,2.0,29.29
"(20.0, -96.0)",1972-01-31,4.52,0.16,36.160666666666664,2.0,25.29
"(20.0, -96.0)",1973-06-30,5.17,0.16,36.277,2.0,27.8
"(20.0, -97.0)",1971-05-31,4.65,0.16,36.23,2.0,25.91
"(21.0, -80.0)",1965-05-31,4.66,0.16,36.17,2.0,26.88
"(21.0, -80.0)",1971-07-31,4.605104166666667,0.16,36.15,2.0,29.23
"(21.0, -80.0)",1972-04-30,4.605104166666667,0.16,35.93,2.0,26.49
"(21.0, -80.0)",1972-07-31,4.605104166666667,0.16,35.9,2.0,28.99
"(21.0, -80.0)",1981-10-31,4.605104166666667,0.16,36.341125000000005,2.0,25.0
"(21.0, -80.0)",1989-11-30,4.605104166666667,0.16,36.336,2.0,28.095
"(21.0, -80.0)",1989-12-31,4.550208333333334,0.16,36.3182375,2.0,27.726499999999998
"(21.0, -81.0)",1963-02-28,4.658518518518519,0.175,36.336666666666666,3.0060000000000002,26.03333333333333
"(21.0, -81.0)",1965-05-31,4.6,0.175,36.2,3.0060000000000002,26.759999999999998
"(21.0, -81.0)",1968-10-31,4.658518518518519,0.175,36.03,3.0060000000000002,29.22
"(21.0, -81.0)",1968-11-30,4.658518518518519,0.175,36.027,3.0060000000000002,27.79
"(21.0, -81.0)",1972-04-30,4.8,0.175,35.882,3.0060000000000002,26.30666666666667
"(21.0, -81.0)",1973-09-30,4.658518518518519,0.175,36.15,3.0060000000000002,29.55
"(21.0, -81.0)",1981-09-30,4.658518518518519,0.175,36.435,3.0060000000000002,26.174999999999997
"(21.0, -81.0)",1981-10-31,4.658518518518519,0.175,36.353,3.0060000000000002,25.96
"(21.0, -81.0)",1989-12-31,4.575555555555556,0.175,36.27850793650794,3.0060000000000002,27.49349206349207
"(21.0, -82.0)",1963-02-28,4.45042735042735,0.175,36.35,3.0060000000000002,26.1
"(21.0, -82.0)",1964-10-31,4.45042735042735,0.13,35.95,3.0060000000000002,28.58
"(21.0, -82.0)",1965-05-31,4.545,0.175,36.144999999999996,3.0060000000000002,26.759999999999998
"(21.0, -82.0)",1968-07-31,4.13,0.22,36.101,2.0,28.94
"(21.0, -82.0)",1972-04-30,4.7,0.175,35.8565,3.0060000000000002,26.43
"(21.0, -82.0)",1981-09-30,4.232692307692308,0.175,36.00639568345325,4.0120000000000005,28.765755395683456
"(21.0, -82.0)",1981-10-31,4.45042735042735,0.175,36.275000000000006,3.0060000000000002,24.785
"(21.0, -82.0)",1989-12-31,4.644444444444444,0.175,35.900888888888886,3.0060000000000002,27.37222222222222
"(21.0, -82.0)",2000-12-31,4.45042735042735,0.175,36.073098071542766,3.0060000000000002,27.366666666666664
"(21.0, -83.0)",1961-02-28,4.600158730158731,0.3,35.832,2.0,26.28
"(21.0, -83.0)",1965-05-31,4.553333333333334,0.3,36.13,2.0,26.80333333333333
"(21.0, -83.0)",1968-10-31,4.600158730158731,0.3,36.17,2.0,29.18
"(21.0, -83.0)",1970-02-28,4.600158730158731,0.3,35.67,2.0,26.4
"(21.0, -83.0)",1970-03-31,4.600158730158731,0.3,35.94289583333334,2.0,22.68
"(21.0, -83.0)",1972-03-31,4.600158730158731,0.3,35.91,2.0,26.37
"(21.0, -83.0)",1972-05-31,4.59,0.3,35.995,2.0,27.64
"(21.0, -83.0)",1972-07-31,4.600158730158731,0.3,35.88,2.0,28.8
"(21.0, -83.0)",1989-12-31,4.6571428571428575,0.3,35.95616666666667,2.0,27.446111111111108
"(21.0, -83.0)",2000-05-31,4.600158730158731,0.3,35.94289583333334,2.0,28.25
"(21.0, -83.0)",2001-01-31,4.600158730158731,0.3,35.94289583333334,2.0,26.05
"(21.0, -84.0)",1961-02-28,4.635,0.7949999999999999,36.094,2.6666666666666665,26.18
"(21.0, -84.0)",1965-05-31,4.575,0.7949999999999999,36.16,2.6666666666666665,26.84
"(21.0, -84.0)",1968-04-30,5.080000000000001,0.7949999999999999,35.76566666666667,2.6666666666666665,21.3175
"(21.0, -84.0)",1970-05-31,4.635,0.7949999999999999,35.99523809523809,2.6666666666666665,27.733333333333334
"(21.0, -84.0)",1971-08-31,4.35,0.7949999999999999,36.11899999999999,2.6666666666666665,29.188
"(21.0, -84.0)",1972-03-31,4.72,0.7949999999999999,35.853,2.6666666666666665,26.4
"(21.0, -84.0)",1972-05-31,4.45,0.7949999999999999,35.935,2.6666666666666665,27.81
"(21.0, -84.0)",1981-10-31,4.635,0.7949999999999999,36.04,2.6666666666666665,21.623333333333335
"(21.0, -84.0)",2000-05-31,4.635,0.7949999999999999,35.99523809523809,2.6666666666666665,27.86666666666667
"(21.0, -84.0)",2001-01-31,4.635,0.7949999999999999,35.99523809523809,2.6666666666666665,26.35
"(21.0, -85.0)",1960-05-31,4.20060606060606,0.3233333333333333,36.12,2.6666666666666665,28.0
"(21.0, -85.0)",1961-03-31,4.20060606060606,0.3233333333333333,35.84,2.6666666666666665,26.5
"(21.0, -85.0)",1964-09-30,3.25,0.46,36.25,6.0,29.84
"(21.0, -85.0)",1965-05-31,4.574999999999999,0.3233333333333333,36.14,2.6666666666666665,26.865000000000002
"(21.0, -85.0)",1965-11-30,4.46,0.1,36.22,2.6666666666666665,28.01
"(21.0, -85.0)",1967-06-30,3.05,0.3233333333333333,35.5195,2.6666666666666665,18.315
"(21.0, -85.0)",1967-08-31,4.52,0.3233333333333333,36.12966666666666,2.6666666666666665,29.86
"(21.0, -85.0)",1967-09-30,4.20060606060606,0.3233333333333333,36.04,2.6666666666666665,28.2
"(21.0, -85.0)",1968-04-30,4.20060606060606,0.3233333333333333,36.00628703703703,2.6666666666666665,27.2
"(21.0, -85.0)",1968-05-31,4.89,0.3233333333333333,36.215,2.6666666666666665,27.175
"(21.0, -85.0)",1969-06-30,4.20060606060606,0.3233333333333333,36.0295,2.6666666666666665,29.450000000000003
"(21.0, -85.0)",1969-07-31,4.45,0.41,35.817,2.6666666666666665,29.93
"(21.0, -85.0)",1970-04-30,4.715,0.3233333333333333,35.852999999999994,1.0,27.395
"(21.0, -85.0)",1970-05-31,4.20060606060606,0.3233333333333333,35.855000000000004,2.6666666666666665,27.67
"(21.0, -85.0)",1971-08-31,4.08,0.3233333333333333,36.144,2.6666666666666665,29.2
"(21.0, -85.0)",1972-03-31,4.20060606060606,0.3233333333333333,36.00628703703703,2.6666666666666665,26.22
"(21.0, -85.0)",1972-04-30,4.20060606060606,0.3233333333333333,35.89,2.6666666666666665,26.72
"(21.0, -85.0)",1972-05-31,4.536666666666666,0.3233333333333333,35.85033333333333,2.6666666666666665,27.89333333333333
"(21.0, -85.0)",1973-05-31,3.68,0.3233333333333333,36.093500000000006,1.0,27.58
"(21.0, -85.0)",1986-07-31,4.20060606060606,0.3233333333333333,36.10666666666666,2.6666666666666665,29.0925
"(21.0, -85.0)",2000-12-31,4.20060606060606,0.3233333333333333,36.00628703703703,2.6666666666666665,27.674999999999997
"(21.0, -86.0)",1960-03-31,4.551219298245614,0.135,36.16,1.0,26.29
"(21.0, -86.0)",1960-05-31,4.551219298245614,0.135,36.2,1.0,28.44
"(21.0, -86.0)",1961-04-30,4.551219298245614,0.135,36.045,1.0,26.884999999999998
"(21.0, -86.0)",1961-05-31,4.551219298245614,0.135,36.14,1.0,28.06
"(21.0, -86.0)",1962-06-30,4.72,0.05,36.229,1.0,27.09
"(21.0, -86.0)",1965-10-31,4.5,0.1,36.2,1.0,28.01
"(21.0, -86.0)",1965-11-30,4.52,0.0,36.24,1.0,28.08
"(21.0, -86.0)",1966-05-31,4.56,0.16,36.4,1.0,28.1
"(21.0, -86.0)",1966-08-31,4.38,0.15,36.06,1.0,28.02
"(21.0, -86.0)",1967-01-31,4.66,0.11,35.75,1.0,25.86
"(21.0, -86.0)",1967-05-31,4.7,0.135,36.18,1.0,26.54
"(21.0, -86.0)",1967-06-30,4.83,0.135,36.03225,1.0,28.064999999999998
"(21.0, -86.0)",1967-08-31,4.3,0.14,35.836666666666666,1.0,29.41333333333333
"(21.0, -86.0)",1967-09-30,4.12,0.1,35.829,1.0,27.9
"(21.0, -86.0)",1967-10-31,4.42,0.06,35.43,1.0,27.58
"(21.0, -86.0)",1968-01-31,4.53,0.14,35.7,1.0,25.6
"(21.0, -86.0)",1968-02-29,4.93,0.12,35.79,1.0,25.78
"(21.0, -86.0)",1968-04-30,4.640000000000001,0.07,36.004000000000005,1.0,26.075
"(21.0, -86.0)",1968-05-31,5.03,0.135,35.896,1.0,26.86
"(21.0, -86.0)",1968-06-30,4.363333333333333,0.135,36.07666666666666,1.0,27.963333333333335
"(21.0, -86.0)",1968-09-30,4.53,0.16,36.18,1.0,27.77
"(21.0, -86.0)",1968-10-31,4.551219298245614,0.135,35.9675,1.0,28.735
"(21.0, -86.0)",1969-02-28,4.86,0.135,35.88,1.0,26.1
"(21.0, -86.0)",1969-03-31,4.551219298245614,0.135,36.04,1.0,26.205
"(21.0, -86.0)",1969-04-30,5.065,0.135,35.959,1.0,27.025
"(21.0, -86.0)",1969-05-31,4.02,0.135,36.11,1.0,28.144
"(21.0, -86.0)",1969-06-30,4.18,0.135,36.046,1.0,29.165000000000003
"(21.0, -86.0)",1969-07-31,4.615,0.63,35.908,1.0,29.490000000000002
"(21.0, -86.0)",1969-08-31,3.8,0.135,35.99,1.0,28.8
"(21.0, -86.0)",1969-09-30,4.36,0.15,36.03,1.0,28.35
"(21.0, -86.0)",1969-10-31,4.41,0.15,35.76,1.0,28.88
"(21.0, -86.0)",1970-01-31,4.551219298245614,0.135,35.82,1.0,26.02
"(21.0, -86.0)",1970-02-28,4.551219298245614,0.135,35.62,1.0,25.26
"(21.0, -86.0)",1970-03-31,4.551219298245614,0.135,35.9,1.0,25.31
"(21.0, -86.0)",1970-04-30,4.551219298245614,0.135,35.77733333333334,1.0,26.828333333333333
"(21.0, -86.0)",1970-05-31,4.551219298245614,0.135,36.004999999999995,1.0,27.62
"(21.0, -86.0)",1970-06-30,4.551219298245614,0.135,36.495,1.0,28.38
"(21.0, -86.0)",1970-08-31,4.551219298245614,0.135,35.99,1.0,28.26
"(21.0, -86.0)",1970-12-31,4.551219298245614,0.135,35.96,1.0,26.55
"(21.0, -86.0)",1971-01-31,4.551219298245614,0.135,35.75,1.0,25.9
"(21.0, -86.0)",1971-02-28,4.551219298245614,0.135,35.71,1.0,25.63
"(21.0, -86.0)",1971-03-31,4.58,0.135,35.98,1.0,26.02
"(21.0, -86.0)",1971-04-30,4.551219298245614,0.135,35.91,1.0,25.73
"(21.0, -86.0)",1971-05-31,4.551219298245614,0.135,36.01,1.0,27.3
"(21.0, -86.0)",1971-07-31,4.73,0.12,35.693999999999996,1.0,20.48
"(21.0, -86.0)",1971-08-31,4.3875,0.135,35.913000000000004,1.0,28.522857142857138
"(21.0, -86.0)",1971-10-31,4.37,0.02,36.01,1.0,27.6
"(21.0, -86.0)",1971-11-30,4.55,0.135,35.84666666666667,1.0,28.536666666666665
"(21.0, -86.0)",1972-02-29,5.15,0.135,35.98,1.0,24.75
"(21.0, -86.0)",1972-03-31,4.82,0.135,35.90833333333333,1.0,26.28
"(21.0, -86.0)",1972-04-30,4.57,0.135,36.026666666666664,1.0,27.096666666666668
"(21.0, -86.0)",1972-05-31,4.428,0.135,36.02250000000001,1.0,27.615
"(21.0, -86.0)",1972-10-31,4.551219298245614,0.135,35.945,1.0,28.415
"(21.0, -86.0)",1973-01-31,4.551219298245614,0.135,35.72,1.0,26.15
"(21.0, -86.0)",1973-03-31,4.6875,0.135,35.9925,1.0,26.07
"(21.0, -86.0)",1973-05-31,4.71,0.135,36.123333333333335,1.0,27.429999999999996
"(21.0, -86.0)",1974-02-28,4.551219298245614,0.135,36.77,1.0,26.07
"(21.0, -86.0)",1974-03-31,4.551219298245614,0.135,36.04,1.0,25.74
"(21.0, -86.0)",1974-04-30,4.551219298245614,0.135,35.87,1.0,26.69
"(21.0, -86.0)",1974-05-31,4.551219298245614,0.135,36.02,1.0,26.66
"(21.0, -86.0)",1974-06-30,4.47,0.135,36.04,1.0,27.62
"(21.0, -86.0)",1974-08-31,4.551219298245614,0.135,36.06,1.0,27.93
"(21.0, -86.0)",1974-11-30,4.551219298245614,0.135,35.93,1.0,27.08
"(21.0, -86.0)",1975-02-28,4.45,0.135,35.78,1.0,26.09
"(21.0, -86.0)",1986-07-31,4.551219298245614,0.135,36.13142857142857,1.0,28.754285714285714
"(21.0, -86.0)",2000-05-31,4.551219298245614,0.135,35.98184377289377,1.0,27.55
"(21.0, -86.0)",2000-12-31,4.551219298245614,0.135,35.98184377289377,1.0,27.5
"(21.0, -87.0)",1960-05-31,4.522466666666666,0.11066666666666666,36.27,1.0,28.11
"(21.0, -87.0)",1961-04-30,4.522466666666666,0.11066666666666666,36.0,1.0,26.44
"(21.0, -87.0)",1961-05-31,4.522466666666666,0.11066666666666666,36.26,1.0,28.06
"(21.0, -87.0)",1966-05-31,4.63,0.22,36.15,1.0,27.36
"(21.0, -87.0)",1966-08-31,4.1,0.11,35.97,1.0,28.58
"(21.0, -87.0)",1967-01-31,5.07,0.11,35.93,1.0,25.52
"(21.0, -87.0)",1967-05-31,4.64,0.11066666666666666,36.18,1.0,26.42
"(21.0, -87.0)",1967-06-30,4.522466666666666,0.11066666666666666,36.08,1.0,27.93
"(21.0, -87.0)",1967-08-31,4.505,0.16,35.8712,1.0,28.648000000000003
"(21.0, -87.0)",1967-09-30,4.522466666666666,0.12,36.1,1.0,27.08
"(21.0, -87.0)",1967-10-31,4.26,0.07,35.85,1.0,27.85
"(21.0, -87.0)",1968-01-31,4.67,0.13,35.6,1.0,26.32
"(21.0, -87.0)",1968-02-29,4.56,0.16,35.79,1.0,25.7
"(21.0, -87.0)",1968-04-30,4.52,0.02,36.04,1.0,25.88
"(21.0, -87.0)",1968-05-31,5.12,0.11066666666666666,35.979,1.0,26.685000000000002
"(21.0, -87.0)",1968-09-30,4.54,0.13,36.13,1.0,27.88
"(21.0, -87.0)",1969-02-28,4.64,0.11066666666666666,35.74,1.0,25.81
"(21.0, -87.0)",1969-03-31,4.522466666666666,0.11066666666666666,36.0,1.0,25.62
"(21.0, -87.0)",1969-05-31,3.66,0.11066666666666666,36.09,1.0,27.715
"(21.0, -87.0)",1969-08-31,4.4,0.11066666666666666,36.21,1.0,28.82
"(21.0, -87.0)",1969-09-30,4.4,0.13,35.9,1.0,28.16
"(21.0, -87.0)",1969-10-31,4.49,0.11,35.72,1.0,28.93
"(21.0, -87.0)",1970-01-31,4.2,0.11066666666666666,36.06,1.0,24.78
"(21.0, -87.0)",1970-02-28,4.522466666666666,0.11066666666666666,35.71,1.0,25.16
"(21.0, -87.0)",1970-03-31,4.522466666666666,0.11066666666666666,35.93,1.0,25.47
"(21.0, -87.0)",1970-04-30,4.6866666666666665,0.11066666666666666,35.82299999999999,1.0,26.656
"(21.0, -87.0)",1970-05-31,4.522466666666666,0.11066666666666666,35.575,1.0,27.395
"(21.0, -87.0)",1970-06-30,4.522466666666666,0.11066666666666666,35.98854782608696,1.0,28.4
"(21.0, -87.0)",1970-08-31,4.522466666666666,0.11066666666666666,36.02,1.0,27.92
"(21.0, -87.0)",1970-12-31,4.522466666666666,0.11066666666666666,35.89,1.0,26.34
"(21.0, -87.0)",1971-01-31,4.522466666666666,0.11066666666666666,36.75,1.0,25.79
"(21.0, -87.0)",1971-02-28,4.522466666666666,0.11066666666666666,35.81,1.0,25.56
"(21.0, -87.0)",1971-03-31,4.4,0.0,35.88,1.0,25.88
"(21.0, -87.0)",1971-04-30,4.522466666666666,0.11066666666666666,35.91,1.0,25.86
"(21.0, -87.0)",1971-05-31,4.522466666666666,0.11066666666666666,36.19,1.0,26.38
"(21.0, -87.0)",1971-07-31,4.2,0.18,36.12,1.0,27.74
"(21.0, -87.0)",1971-08-31,5.17,0.11066666666666666,36.013,1.0,28.49
"(21.0, -87.0)",1971-10-31,4.34,0.01,35.97,1.0,27.87
"(21.0, -87.0)",1972-01-31,4.522466666666666,0.11066666666666666,35.57,1.0,26.17
"(21.0, -87.0)",1972-02-29,4.8,0.11066666666666666,35.97,1.0,25.05
"(21.0, -87.0)",1972-03-31,4.522466666666666,0.11066666666666666,35.825,1.0,26.28
"(21.0, -87.0)",1972-04-30,4.59,0.11066666666666666,36.072,1.0,26.35
"(21.0, -87.0)",1972-05-31,4.47,0.11066666666666666,36.135,1.0,27.95
"(21.0, -87.0)",1972-10-31,4.522466666666666,0.11066666666666666,36.35,1.0,28.95
"(21.0, -87.0)",1973-01-31,4.522466666666666,0.11066666666666666,36.02,1.0,25.74
"(21.0, -87.0)",1974-03-31,4.522466666666666,0.11066666666666666,36.01,1.0,25.63
"(21.0, -87.0)",1974-08-31,4.522466666666666,0.11066666666666666,36.01,1.0,28.24
"(21.0, -90.0)",1964-11-30,4.7,0.07,36.96,4.127272727272728,25.37
"(21.0, -90.0)",1971-05-31,4.5,0.07,36.45,4.127272727272728,25.68
"(21.0, -91.0)",1962-03-31,4.7,0.02,36.67,4.127272727272728,24.64
"(21.0, -91.0)",1964-05-31,4.7,0.02,36.59,4.127272727272728,26.525
"(21.0, -91.0)",1965-04-30,4.65,0.02,36.62,4.127272727272728,25.01
"(21.0, -91.0)",1971-05-31,4.54,0.02,36.6205,4.127272727272728,26.29
"(21.0, -91.0)",1971-07-31,4.18,0.02,36.455,4.127272727272728,26.71
"(21.0, -91.0)",1971-08-31,4.74,0.02,36.456,4.127272727272728,26.7
"(21.0, -91.0)",1971-10-31,4.86,0.02,36.461,4.127272727272728,27.59
"(21.0, -91.0)",1972-01-31,4.3,0.02,36.55321428571428,4.127272727272728,25.43
"(21.0, -92.0)",1962-03-31,4.5,0.02,36.358,4.127272727272728,24.44
"(21.0, -92.0)",1964-05-31,4.7,0.02,36.75749999999999,4.127272727272728,27.11
"(21.0, -92.0)",1965-10-31,4.56,0.02,36.08,4.127272727272728,29.08
"(21.0, -92.0)",1967-03-31,4.410925925925927,0.02,36.3125,4.127272727272728,23.35
"(21.0, -92.0)",1970-11-30,4.45,0.02,35.738,4.127272727272728,27.575000000000003
"(21.0, -92.0)",1971-05-31,4.333333333333333,0.02,36.64966666666667,4.127272727272728,26.30333333333333
"(21.0, -92.0)",1971-07-31,4.05,0.02,36.506,4.127272727272728,27.92
"(21.0, -92.0)",1971-08-31,4.26,0.02,36.571,4.127272727272728,28.46
"(21.0, -92.0)",1971-10-31,4.4350000000000005,0.02,36.074,4.127272727272728,28.17
"(21.0, -92.0)",1972-01-31,4.41,0.02,36.33851851851852,4.127272727272728,25.91
"(21.0, -93.0)",1962-03-31,4.45,0.02,36.28,4.127272727272728,24.493333333333336
"(21.0, -93.0)",1964-01-31,4.08,0.02,36.5965,4.127272727272728,22.895
"(21.0, -93.0)",1965-04-30,4.73,0.02,36.45,4.127272727272728,24.845
"(21.0, -93.0)",1965-10-31,4.43,0.02,35.968,4.127272727272728,29.08
"(21.0, -93.0)",1967-03-31,4.370166666666666,0.02,35.841,4.127272727272728,23.2
"(21.0, -93.0)",1967-09-30,4.370166666666666,0.02,36.661,4.127272727272728,29.05
"(21.0, -93.0)",1969-08-31,4.370166666666666,0.02,36.7,4.127272727272728,29.18
"(21.0, -93.0)",1970-11-30,4.52,0.02,33.878,4.127272727272728,26.88
"(21.0, -93.0)",1971-05-31,4.47,0.02,36.279666666666664,4.127272727272728,26.39
"(21.0, -93.0)",1971-07-31,3.92,0.02,36.526,4.127272727272728,28.38
"(21.0, -93.0)",1971-08-31,4.51,0.02,36.621,4.127272727272728,28.42
"(21.0, -93.0)",1971-10-31,4.206666666666666,0.02,36.135333333333335,4.127272727272728,28.189999999999998
"(21.0, -93.0)",1972-01-31,4.385,0.02,36.161375,4.127272727272728,25.905
"(21.0, -93.0)",2000-01-31,4.370166666666666,0.02,36.161375,4.127272727272728,24.049999999999997
"(21.0, -94.0)",1962-03-31,4.49,0.5175,36.182,4.127272727272728,24.57
